certification_number,player,title1,title2,title3
53195867,Togepi Holo,1999 Pokemon Japanese Promo Southern Islands Southern Island R I PSA 8,1999 Pokemon Japanese Promo Southern Islands PSA 8,1999 Southern Island R I PSA 8
53195904,Jirachi Holo,2018 Pokemon Sun & Moon Celestial Storm Celestial Storm PSA 9,2018 Pokemon Sun & Moon Celestial Storm PSA 9,2018 Celestial Storm PSA 9
53195908,Shining Arceus Holo,2017 Pokemon Sun & Moon Shining Legends Shining Legends PSA 9,2017 Pokemon Sun & Moon Shining Legends PSA 9,2017 Shining Legends PSA 9
53195917,Blastoise & Piplup GX,2019 Pokemon Sun & Moon Cosmic Eclipse Cosmic Eclipse PSA 9,2019 Pokemon Sun & Moon Cosmic Eclipse PSA 9,2019 Cosmic Eclipse PSA 9
53195928,Growlithe,1999 Pokemon Japanese Squirtle Deck Squirtle Deck PSA 10,1999 Pokemon Japanese Squirtle Deck PSA 10,1999 Squirtle Deck PSA 10
53195933,Magmar,1999 Pokemon Japanese Squirtle Deck Squirtle Deck PSA 10,1999 Pokemon Japanese Squirtle Deck PSA 10,1999 Squirtle Deck PSA 10
53195934,Growlithe,2001 Pokemon Japanese Chikorita Half Deck Chikorita Half Deck PSA 9,2001 Pokemon Japanese Chikorita Half Deck PSA 9,2001 Chikorita Half Deck PSA 9
53195938,Growlithe,1999 Pokemon Japanese Squirtle Deck Squirtle Deck PSA 9,1999 Pokemon Japanese Squirtle Deck PSA 9,1999 Squirtle Deck PSA 9
53195942,Spearow,1999 Pokemon Japanese Squirtle Deck Squirtle Deck PSA 10,1999 Pokemon Japanese Squirtle Deck PSA 10,1999 Squirtle Deck PSA 10
53195943,Magmar,1999 Pokemon Japanese Squirtle Deck Squirtle Deck PSA 10,1999 Pokemon Japanese Squirtle Deck PSA 10,1999 Squirtle Deck PSA 10
53195947,Shining Arceus Holo,2017 Pokemon Sun & Moon Shining Legends Shining Legends PSA 9,2017 Pokemon Sun & Moon Shining Legends PSA 9,2017 Shining Legends PSA 9
53195970,M Lucario EX,2014 Pokemon XY Furious Fists Furious Fist Ultra Rare PSA 9,2014 Pokemon XY Furious Fists PSA 9,2014 Furious Fist Ultra Rare PSA 9
53506295,Pikachu & Zekrom GX,2019 Pokemon Sun & Moon Team UP Team UP Secret FA PSA 10,2019 Pokemon Sun & Moon Team UP PSA 10,2019 Team UP Secret FA PSA 10
54610180,Nidoking Holo,2006 Pokemon EX Dragon Frontiers Dragon Frontiers PSA 8,2006 Pokemon EX Dragon Frontiers PSA 8,2006 Dragon Frontiers PSA 8
54610414,Golem Rev.foil,2006 Pokemon EX Legend Maker Legend Maker PSA 9,2006 Pokemon EX Legend Maker PSA 9,2006 Legend Maker PSA 9
55145632,Charizard,2020 Pokemon Sword & Shield Vivid Voltage Vivid Voltage PSA 10,2020 Pokemon Sword & Shield Vivid Voltage PSA 10,2020 Vivid Voltage PSA 10
55228423,Hypno Holo,2003 Pokemon Aquapolis  PSA 10,2003 Pokemon Aquapolis PSA 10,2003  PSA 10
55250486,Poliwrath Holo,2000 Pokemon Game Base II Base II PSA 9,2000 Pokemon Game Base II PSA 9,2000 Base II PSA 9
55396739,Dark Dugtrio,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396741,Dark Dragonair,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396742,Dark Dragonair,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396744,Dark Hypno,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396747,Dark Golduck,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396749,Dark Weezing,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396751,Dark Alakazam,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396754,Dark Kadabra,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396755,Dark Kadabra,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396756,Pidgeot,1999 Pokemon Jungle 1st Edition PSA 9,1999 Pokemon Jungle PSA 9,1999 1st Edition PSA 9
55396759,Porygon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396760,Dark Machamp,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396761,Dark Machamp,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396762,Dark Vileplume,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396763,Rainbow Energy,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396766,Dark Jolteon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396767,Dark Jolteon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396768,Dark Jolteon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396771,Dark Vaporeon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396772,Dark Vaporeon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396773,Dark Vaporeon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396774,Dark Flareon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396775,Dark Flareon,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396776,Squirtle,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
55396778,Dark Blastoise,2000 Pokemon Rocket 1st Edition PSA 9,2000 Pokemon Rocket PSA 9,2000 1st Edition PSA 9
